age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,priors_count.1,two_year_recid,in_minus_offense,out_minus_in,sex_Female,sex_Male,race_African-American,race_Asian,race_Caucasian,race_Hispanic,race_Native American,race_Other,c_charge_degree_F,c_charge_degree_M
69,0,0,0,0,0,0,328,7,False,True,False,False,False,False,False,True,True,False
34,0,0,0,0,0,1,0,10,False,True,True,False,False,False,False,False,True,False
24,0,0,1,4,4,1,64,0,False,True,True,False,False,False,False,False,True,False
44,0,0,0,0,0,0,0,1,False,True,False,False,False,False,False,True,False,True
41,0,0,0,14,14,1,41,18,False,True,False,False,True,False,False,False,True,False
43,0,0,0,3,3,0,0,12,False,True,False,False,False,False,False,True,True,False
39,0,0,0,0,0,0,0,3,True,False,False,False,True,False,False,False,False,True
27,0,0,0,0,0,0,0,1,False,True,False,False,True,False,False,False,True,False
23,0,0,0,3,3,1,0,4,False,True,True,False,False,False,False,False,False,True
37,0,0,0,0,0,0,0,1,True,False,False,False,True,False,False,False,False,True
41,0,0,0,0,0,0,0,1,False,True,True,False,False,False,False,False,True,False
47,0,0,0,1,1,1,0,169,True,False,False,False,True,False,False,False,True,False
31,0,0,0,7,7,1,93,3,False,True,True,False,False,False,False,False,True,False
37,0,0,0,0,0,0,0,0,False,True,False,False,False,True,False,False,False,True
25,0,0,0,3,3,0,464,62,False,True,True,False,False,False,False,False,True,False
31,0,0,0,6,6,1,0,1,False,True,False,False,True,False,False,False,True,False
31,0,0,0,5,5,1,459,31,False,True,False,False,True,False,False,False,True,False
64,0,0,0,13,13,1,0,1,False,True,True,False,False,False,False,False,True,False
21,0,0,0,1,1,1,31,1,False,True,True,False,False,False,False,False,True,False
27,0,0,0,0,0,1,0,0,False,True,False,False,True,False,False,False,False,True
21,0,0,0,0,0,0,0,1,True,False,False,False,True,False,False,False,True,False
24,0,0,0,1,1,1,1,1,False,True,False,False,False,True,False,False,True,False
43,0,0,0,1,1,0,0,1,False,True,False,False,True,False,False,False,False,True
32,0,0,0,0,0,0,0,2,False,True,False,False,False,False,False,True,False,True
27,0,0,0,8,8,1,117,1,False,True,True,False,False,False,False,False,True,False
26,0,0,1,5,5,1,392,8,False,True,True,False,False,False,False,False,True,False
33,0,0,0,0,0,1,216,21,False,True,True,False,False,False,False,False,True,False
30,0,0,0,9,9,1,162,1,False,True,False,False,True,False,False,False,True,False
32,0,0,0,4,4,1,8,2,False,True,True,False,False,False,False,False,True,False
55,0,0,0,0,0,0,0,2,False,True,False,False,True,False,False,False,True,False
49,0,0,0,7,7,1,502,1,False,True,False,False,False,False,False,True,True,False
33,0,0,0,4,4,1,0,11,True,False,False,False,True,False,False,False,False,True
24,0,0,0,1,1,1,240,3,False,True,False,False,True,False,False,False,False,True
34,2,1,3,21,21,1,514,178,False,True,True,False,False,False,False,False,True,False
29,0,0,0,0,0,0,1,0,False,True,False,False,True,False,False,False,False,True
21,0,0,0,2,2,0,0,1,True,False,True,False,False,False,False,False,True,False
51,0,0,0,2,2,0,0,1,False,True,True,False,False,False,False,False,False,True
29,0,0,0,2,2,1,73,1,False,True,False,False,True,False,False,False,False,True
51,0,0,0,7,7,0,530,8,True,False,True,False,False,False,False,False,True,False
29,0,0,0,0,0,1,185,28,False,True,True,False,False,False,False,False,True,False
25,0,0,0,9,9,1,9,9,False,True,False,False,True,False,False,False,False,True
35,1,0,4,13,13,1,10,1,False,True,True,False,False,False,False,False,True,False
49,0,0,0,0,0,0,0,0,False,True,False,False,True,False,False,False,False,True
29,0,0,0,0,0,0,1,0,False,True,True,False,False,False,False,False,True,False
29,0,0,0,1,1,1,465,0,False,True,False,False,True,False,False,False,True,False
28,0,0,0,0,0,0,0,1,True,False,False,False,False,False,False,True,True,False
31,0,0,1,15,15,0,0,136,False,True,True,False,False,False,False,False,True,False
24,0,0,0,2,2,1,0,2,False,True,True,False,False,False,False,False,True,False
30,0,0,0,0,0,0,0,23,False,True,False,False,False,True,False,False,False,True
49,0,0,0,4,4,0,0,1,False,True,True,False,False,False,False,False,False,True
53,0,0,0,8,8,0,0,13,False,True,False,False,True,False,False,False,True,False
35,0,0,0,5,5,0,0,1,False,True,True,False,False,False,False,False,True,False
27,1,1,2,15,15,1,45,5,False,True,True,False,False,False,False,False,True,False
38,0,0,0,4,4,1,0,2,False,True,False,False,True,False,False,False,False,True
22,0,0,1,1,1,1,0,1,False,True,True,False,False,False,False,False,True,False
29,0,0,0,4,4,1,0,98,False,True,True,False,False,False,False,False,True,False
62,0,0,0,0,0,0,1,0,False,True,False,False,False,True,False,False,False,True
27,0,1,0,6,6,1,193,1,False,True,True,False,False,False,False,False,True,False
33,0,0,0,0,0,0,0,1,False,True,False,False,False,False,False,True,False,True
56,0,0,0,0,0,0,1,3,True,False,True,False,False,False,False,False,False,True
45,0,0,0,6,6,1,0,242,False,True,False,False,False,True,False,False,True,False
22,0,0,0,1,1,0,0,1,False,True,False,False,False,True,False,False,True,False
39,0,0,0,1,1,0,0,5,False,True,True,False,False,False,False,False,False,True
29,0,0,0,5,5,1,253,1,False,True,True,False,False,False,False,False,True,False
27,0,0,1,1,1,1,0,58,False,True,False,False,True,False,False,False,True,False
40,0,0,0,2,2,0,0,3,False,True,True,False,False,False,False,False,True,False
22,0,0,0,1,1,1,257,21,False,True,True,False,False,False,False,False,False,True
22,0,0,0,0,0,0,74,21,False,True,False,False,True,False,False,False,True,False
26,0,0,0,1,1,1,12,58,True,False,True,False,False,False,False,False,True,False
32,0,0,0,0,0,0,0,1,False,True,True,False,False,False,False,False,True,False
41,0,0,0,1,1,0,0,2,False,True,True,False,False,False,False,False,False,True
30,0,0,0,8,8,1,56,1,False,True,True,False,False,False,False,False,False,True
50,0,0,0,0,0,1,0,2,False,True,False,False,False,False,False,True,True,False
25,1,6,1,14,14,1,0,19,False,True,True,False,False,False,False,False,True,False
20,0,0,0,0,0,1,120,423,False,True,False,False,False,False,False,True,True,False
22,1,0,0,2,2,1,0,30,False,True,True,False,False,False,False,False,True,False
35,0,0,0,1,1,0,0,1,True,False,True,False,False,False,False,False,False,True
36,0,0,0,9,9,1,1,4,False,True,True,False,False,False,False,False,True,False
26,0,0,0,7,7,1,440,10,False,True,False,False,True,False,False,False,True,False
21,0,0,0,1,1,1,254,98,False,True,False,False,False,False,False,True,True,False
25,0,0,0,9,9,1,217,2,False,True,False,False,True,False,False,False,True,False
20,0,0,0,0,0,0,0,1,True,False,False,False,True,False,False,False,True,False
39,0,0,0,2,2,1,66,22,False,True,False,False,True,False,False,False,True,False
54,0,0,0,0,0,0,1,0,True,False,False,False,True,False,False,False,False,True
44,0,0,0,0,0,0,0,1,True,False,False,False,False,True,False,False,False,True
19,0,0,0,1,1,1,114,6,False,True,True,False,False,False,False,False,False,True
30,0,0,0,1,1,0,0,1,False,True,True,False,False,False,False,False,True,False
39,0,0,0,0,0,1,0,2,True,False,False,False,True,False,False,False,True,False
24,0,1,2,8,8,1,-1,12,False,True,False,False,True,False,False,False,True,False
30,0,0,0,0,0,0,498,27,False,True,False,False,True,False,False,False,True,False
31,0,0,0,0,0,0,0,39,False,True,False,False,True,False,False,False,False,True
39,0,0,0,1,1,0,393,5,True,False,False,False,True,False,False,False,True,False
43,0,0,0,1,1,0,0,1,False,True,False,False,True,False,False,False,True,False
21,0,0,0,3,3,1,25,302,False,True,True,False,False,False,False,False,True,False
38,0,0,0,5,5,1,56,1,False,True,False,False,True,False,False,False,False,True
34,0,0,0,0,0,0,441,69,False,True,False,False,True,False,False,False,True,False
33,0,0,0,5,5,1,1,0,False,True,True,False,False,False,False,False,True,False
37,0,0,0,3,3,0,102,7,False,True,True,False,False,False,False,False,True,False
42,0,0,0,1,1,1,1,1,False,True,False,False,True,False,False,False,True,False
41,0,1,0,10,10,1,285,41,False,True,True,False,False,False,False,False,True,False
22,0,0,0,0,0,1,757,0,False,True,True,False,False,False,False,False,True,False
33,0,12,2,28,28,1,84,1,False,True,True,False,False,False,False,False,True,False
31,0,0,0,1,1,0,0,1,False,True,True,False,False,False,False,False,False,True
30,0,0,0,1,1,0,98,8,True,False,False,False,False,False,False,True,True,False
31,0,0,0,13,13,1,0,471,False,True,False,False,True,False,False,False,True,False
27,0,0,0,3,3,1,0,1,False,True,True,False,False,False,False,False,True,False
52,0,0,0,3,3,0,0,1,False,True,False,False,True,False,False,False,False,True
33,0,0,0,19,19,1,0,32,False,True,True,False,False,False,False,False,True,False
42,0,0,0,6,6,0,413,86,False,True,False,False,True,False,False,False,True,False
25,0,0,0,2,2,0,0,21,True,False,False,False,True,False,False,False,True,False
30,0,0,0,1,1,0,0,4,False,True,False,False,True,False,False,False,False,True
37,0,0,0,2,2,0,221,2,True,False,False,False,False,False,False,True,False,True
28,0,0,0,0,0,1,61,0,False,True,False,False,True,False,False,False,False,True
24,0,0,0,0,0,0,0,2,True,False,True,False,False,False,False,False,False,True
29,0,1,0,10,10,1,41,38,True,False,False,False,True,False,False,False,True,False
44,0,0,0,2,2,1,1,0,False,True,False,False,True,False,False,False,False,True
32,0,0,0,3,3,1,414,8,False,True,True,False,False,False,False,False,True,False
31,0,0,0,2,2,1,0,15,False,True,False,False,True,False,False,False,False,True
31,0,0,0,1,1,0,0,1,False,True,True,False,False,False,False,False,False,True
59,0,0,0,1,1,1,331,55,False,True,False,False,True,False,False,False,True,False
20,1,0,0,1,1,0,0,9,True,False,True,False,False,False,False,False,True,False
43,0,0,0,0,0,0,0,1,True,False,False,False,True,False,False,False,False,True
38,1,1,0,9,9,1,130,1,False,True,True,False,False,False,False,False,True,False
32,0,0,0,11,11,1,26,36,False,True,True,False,False,False,False,False,True,False
33,0,0,0,8,8,1,568,0,False,True,True,False,False,False,False,False,False,True
31,0,0,0,0,0,1,77,35,True,False,True,False,False,False,False,False,True,False
33,0,0,0,7,7,1,276,19,True,False,True,False,False,False,False,False,True,False
27,0,0,0,2,2,1,19,0,False,True,True,False,False,False,False,False,True,False
20,0,0,0,0,0,0,1,0,True,False,True,False,False,False,False,False,True,False
26,0,0,0,0,0,0,0,1,True,False,False,False,True,False,False,False,False,True
61,0,0,0,1,1,1,0,1,True,False,True,False,False,False,False,False,True,False
52,0,0,0,13,13,1,37,0,False,True,False,False,False,False,False,True,True,False
